Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI014_2D00_FIREP;XDOSAN14;25.12.2017;31.12.9999;;27.12.2017;18:48:58;0;;
400;ZGBI014_2D00_FIREP;XDOSAV47;25.12.2017;31.12.9999;;25.12.2017;12:34:42;0;;
400;ZGBI014_2D00_FIREP;XDOSEV21;25.12.2017;31.12.9999;;27.12.2017;18:49:02;0;;
400;ZGBI014_2D00_FIREP;XDOSIG03;25.12.2017;31.12.9999;;27.12.2017;18:49:07;0;;
400;ZGBI014_2D00_FIREP;XDOSKS01;25.12.2017;31.12.9999;;25.12.2017;12:34:57;0;;
400;ZGBI014_2D00_FIREP;XDOSLP;25.12.2017;31.12.9999;;25.12.2017;12:35:00;0;;
400;ZGBI014_2D00_FIREP;XDOSMV22;30.05.2018;31.12.9999;;30.05.2018;15:38:36;0;;
400;ZGBI014_2D00_FIREP;XDOSNE;25.12.2017;31.12.9999;;27.12.2017;18:49:09;0;;
400;ZGBI014_2D00_FIREP;XDOSNI03;25.12.2017;31.12.9999;;25.12.2017;12:35:04;0;;
400;ZGBI014_2D00_FIREP;XDOSNY03;25.12.2017;31.12.9999;;25.12.2017;12:35:06;0;;
400;ZGBI014_2D00_FIREP;XDOSOA19;25.12.2017;31.12.9999;;27.12.2017;18:49:11;0;;
400;ZGBI014_2D00_FIREP;XDOSRV08;25.12.2017;31.12.9999;;25.12.2017;12:35:08;0;;
400;ZGBI014_2D00_FIREP;XDOSSA25;25.12.2017;31.12.9999;;25.12.2017;12:35:09;0;;
400;ZGBI014_2D00_FIREP;XDOSSI02;25.12.2017;31.12.9999;;27.12.2017;18:49:12;0;;
400;ZGBI014_2D00_FIREP;XDOSSV16;25.12.2017;31.12.9999;;25.12.2017;12:35:11;0;;
400;ZGBI014_2D00_FIREP;XDOSSY03;25.12.2017;31.12.9999;;25.12.2017;12:35:12;0;;
400;ZGBI014_2D00_FIREP;XDOSTV08;15.02.2018;31.12.9999;;15.02.2018;11:38:18;0;;
400;ZGBI014_2D00_FIREP;XDOSVV34;29.05.2018;31.12.9999;;29.05.2018;14:34:08;0;;
400;ZGBI014_2D00_FIREP;XDOSYN01;25.12.2017;31.12.9999;;27.12.2017;18:49:16;0;;
400;ZGBI014_2D00_FIREP;XDOSYV08;25.12.2017;31.12.9999;;25.12.2017;12:35:26;0;;
400;ZGBI014_2D00_FIREP;XDOTEV05;25.12.2017;31.12.9999;;27.12.2017;18:49:16;0;;
400;ZGBI014_2D00_FIREP;XDOTMA04;25.12.2017;31.12.9999;;27.12.2017;18:49:17;0;;
400;ZGBI014_2D00_FIREP;XDOTOA02;25.12.2017;31.12.9999;;25.12.2017;12:35:36;0;;
400;ZGBI014_2D00_FIREP;XDOTYV03;25.12.2017;31.12.9999;;25.12.2017;12:35:45;0;;
400;ZGBI014_2D00_FIREP;XDOVAO03;19.07.2018;31.12.9999;;19.07.2018;11:23:00;0;;
400;ZGBI014_2D00_FIREP;XDOVBA;30.05.2018;31.12.9999;;30.05.2018;15:38:40;0;;
400;ZGBI014_2D00_FIREP;XDOVIA06;25.12.2017;31.12.9999;;25.12.2017;12:35:55;0;;
400;ZGBI014_2D00_FIREP;XDOVIV04;30.05.2018;31.12.9999;;30.05.2018;16:03:28;0;;
400;ZGBI014_2D00_FIREP;XDOVKR;25.12.2017;31.12.9999;;27.12.2017;18:49:19;0;;
400;ZGBI014_2D00_FIREP;XDOVNV13;25.12.2017;31.12.9999;;27.12.2017;18:49:21;0;;
400;ZGBI014_2D00_FIREP;XDOVTA03;30.05.2018;31.12.9999;;30.05.2018;15:38:43;0;;
400;ZGBI014_2D00_FIREP;XDOVYA01;25.12.2017;31.12.9999;;27.12.2017;18:49:23;0;;
400;ZGBI014_2D00_FIREP;XDOYEI;25.12.2017;31.12.9999;;25.12.2017;12:36:05;0;;
400;ZGBI014_2D00_FIREP;XDOZID;25.12.2017;31.12.9999;;27.12.2017;18:49:24;0;;
