Код транзакции;Текст;Направление
TPM10;Фиксир., проводка или сторн. сделок;УФ
TPM12;Список позиций регистра ФМ;УФ
TPM20;Журнал проводок;УФ
TPM44;РазграничРезультатов: финанс.продукт;УФ
TPM45;Сторно, разграничение результатов;УФ
VA01;Создание заказа клиента;УМиС
VA02;Изменение заказа клиента;УМиС
VA03;Просмотр заказа клиента;УМиС
VA05;Список заказов;УМиС
VA15;Список запросов;УМиС
VA41;Создание договора;УМиС
VA42;Изменить контракт;УМиС
VA43;Просмотр контракта;УМиС
VA45;Список контрактов;УМиС
VD03;Просмотр дебитора (сбыт);УМиС
VF01;Создать фактуру;УМиС
VF02;Изменить фактуру;УМиС
VF03;Просмотр фактуры;УМиС
VF04;Обработка РабСписка фактур;УМиС
VF05;Список фактур;УМиС
VF07;Просмотр фактуры из архива;УМиС
VF11;Сторнирование фактуры;УМиС
VF31;Выходные документы фактур;УМиС
VFX3;Список блокированных фактур;УМиС
VK03;Создать ТаблУсловий;УМиС
VL01N;Создание исходящей поставки к ЗкзКлн;УМиС
VL02N;Изменение исходящей поставки;УМиС
VL03N;Просмотр исходящей поставки;УМиС
VL06F;Общий список поставок - исх.поставка;УМиС
VL06G;Список исходящих поставок - ОМ;УМиС
VL06IF;Свободный выбор входящих поставок;УМиС
VL06O;Монитор исходящих поставок;УМиС
VL09;Сторно отпуска материала по накладн.;УМиС
VL33N;Просмотр входящей поставки;УМиС
XD01;Ввод дебитора (цнтрл);НСИ
XD03;Просмотр дебитора (центральный);НСИ
XK03;Просмотр кредитора (центрл);НСИ
Z_EBANKILLER;#Н/Д;УСМТР
Z_MASS_ZAYOK;#Н/Д;УСМТР
Z_VIRT_SKLD;#Н/Д;УСМТР
Z4MM0002;Переадресация поставок по лотам;УСМТР
ZD_1AA0034_LTAX;0034: Земельный налог;БНУ
ZD_1AA0034_LTAX_DECL;0034: Декларация по зем. налогу;БНУ
ZD_1AA0035_PTAX_CALC;0035: Расчёт налога на имущество;БНУ
ZD_1AA0035_PTAX_DECL;0035: Декларация по налогу на имущ.;БНУ
ZD_1AA0036_OKATOREG;0036: ОКАТО-регион (тр. на): ведение;БНУ
ZD_1AA1008_LONGTXT;Отчет подробные тексты карточек ОС;БНУ
ZD_1BD0035;#Н/Д;БД
ZD_1BD0036;#Н/Д;БД
ZD_1FI0045;Акт сверки взаимных расчетов;УСМТР
ZD_1FI0124_REGINV;Журнал учета счетов-фактур;УСМТР
ZD_1FI1014;Загрузка агрегированных данных по ЗП;УСМТР
ZD_1FI1041_REP;Сальдо счета, местная валюта по МВП;УСМТР
ZD_1MM0039_VL33N;Просмотреть входящую поставку;УСМТР
ZD_1SD0021;Организация массовой рассылки;УМиС
