ПФМ;Название;4;5
D22116;Ресурсооб(ТЭЦ 21);;
D22117;СкладЛог(ТЭЦ 21);;
D22118;Транспорт(ТЭЦ 21);;
D22119;Эконом. (ТЭЦ 21);;
D22120;УпрИмущ(ТЭЦ 21);;
D22121;Финансы(ТЭЦ 21);;
D22122;Бухгалт.(ТЭЦ 21);;
D22123;Развитие(ТЭЦ 21);;
D22124;КапСтрой(ТЭЦ 21);;
D22125;Тех(ТЭЦ 21);;
D222;ТЭЦ 22 Южная;;
D22201;Апп. ГД(ТЭЦ 22);;
D22202;ПравВопр(ТЭЦ 22);;
D22203;СвязОбщ.(ТЭЦ 22);;
D22204;АдмСерв(ТЭЦ 22);;
D22205;ГО и ЧС(ТЭЦ 22);;
D22206;Ремонт.(ТЭЦ 22);;
D22207;Эксплуат.(ТЭЦ 22);;
D22208;Произв.(ТЭЦ 22);;
D22209;Метролог(ТЭЦ 22);;
D22210;СбытТЭ(ТЭЦ 22);;
D22211;СбытЭЭ(ТЭЦ 22);;
D22212;КорпЗащит(ТЭЦ 22);;
D22213;ОплТруда(ТЭЦ 22);;
D22214;ПодгКадр(ТЭЦ 22);;
D22215;Соц-труд(ТЭЦ 22);;
D22216;Ресурсооб(ТЭЦ 22);;
D22217;СкладЛог(ТЭЦ 22);;
D22218;Транспорт(ТЭЦ 22);;
D22219;Эконом. (ТЭЦ 22);;
D22220;УпрИмущ(ТЭЦ 22);;
D22221;Финансы(ТЭЦ 22);;
D22222;Бухгалт.(ТЭЦ 22);;
D22223;Развитие(ТЭЦ 22);;
D22224;КапСтрой(ТЭЦ 22);;
D22225;Тех(ТЭЦ 22);;
D230;Каскад Вуоксинских Г;;
D23001;Апп. ГД(ВуоксинскГЭС;;
D23002;ПравВопр(ВуоксинскГЭ;;
D23003;СвязОбщ.(ВуоксинскГЭ;;
D23004;АдмСерв(ВуоксинскГЭС;;
D23005;ГО и ЧС(ВуоксинскГЭС;;
D23006;Ремонт.(ВуоксинскГЭС;;
D23007;Экспл(ВуоксинскГЭС);;
D23008;Произв.(ВуоксинскГЭС;;
D23009;Метролог(ВуоксинскГЭ;;
D23010;СбытТЭ(ВуоксинскГЭС);;
D23011;СбытЭЭ(ВуоксинскГЭС);;
D23012;КорЗащ(ВуоксинскГЭС);;
D23013;ОплТруда(ВуоксинскГЭ;;
D23014;ПодгКадр(ВуоксинскГЭ;;
D23015;Соц-труд(ВуоксинскГЭ;;
D23016;РесуОб(ВуоксинскГЭС);;
D23017;СкладЛог(ВуоксинскГЭ;;
D23018;Трансп(ВуоксинскГЭС);;
D23019;Эконом. (ВуоксинскГЭ;;
D23020;УпрИмущ(ВуоксинскГЭС;;
D23021;Финансы(ВуоксинскГЭС;;
D23022;Бухгалт.(ВуоксинскГЭ;;
D23023;Развитие(ВуоксинскГЭ;;
D23024;КапСтрой(ВуоксинскГЭ;;
D23025;Тех(ВуоксинскГЭС);;
D291;Предприятие СДТУиИТ;;
D29101;Апп. ГД(СДТУиИТ);;
D29102;ПравВопр(СДТУиИТ);;
D29103;СвязОбщ.(СДТУиИТ);;
D29104;АдмСерв(СДТУиИТ);;
D29105;ГО и ЧС(СДТУиИТ);;
D29106;Ремонт.(СДТУиИТ);;
D29107;Эксплуат.(СДТУиИТ);;
D29108;Произв.(СДТУиИТ);;
