МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D100611600;УпрТГК-1-Сбыт Э/Э;"Отдел сбыта (электроэнергия) Управления ОАО ""ТГК-1""";D100
D100611700;УпрТГК-1-Сбыт Т/Э;"Отдел сбыта (тепловая энергия) Управления ОАО ""ТГК-1""";D100
D100650000;УпрТГК-1-Управление;"Управление ОАО""ТГК-1"" (общие)";D100
D100650200;УпрТГК-1-БлАппаратГД;Блок аппарата генерального директора;D100
D100650300;УпрТГК-1-БлПравВопр;Блок по правовым вопросам;D100
D100650400;УпрТГК-1-БлСвязОбщес;Блок по связям с общественностью;D100
D100650500;УпрТГК-1-Адмн-сервБл;Административно-сервисный блок;D100
D100650600;УпрТГК-1-Бл ГО и ЧС;Блок по ГО и ЧС;D100
D100650700;УпрТГК-1-БлРемонтам;Блок по ремонтам;D100
D100650800;УпрТГК-1-БлЭксплуат;Блок по эксплуатации;D100
D100650900;УпрТГК-1-ПроизводБл;Производственный блок;D100
D100651000;УпрТГК-1-БлМетролог;Блок метрологии;D100
D100651100;УпрТГК-1-БлКорпорЗащ;Блок по корпоративной защите;D100
D100651200;УпрТГК-1-БлОплатТруд;Блок по оплате труда;D100
D100651300;УпрТГК-1-БлПодготКад;Блок по подготовке кадров;D100
D100651400;УпрТГК-1-БлСоцТруОтн;Блок социально-трудовых отношений;D100
D100651500;УпрТГК-1-БлРесурсооб;Блок по ресурсообеспечению;D100
D100651600;УпрТГК-1-БлСкладЛог;Блок складской логистики;D100
D100651700;УпрТГК-1-БлТранспорт;Блок по транспорту;D100
D100651800;УпрТГК-1-БлЭкономике;Блок по экономике;D100
D100651900;УпрТГК-1-БлУпрИмущ;Блок управления имуществом;D100
D100652000;УпрТГК-1-БлФинансов;Финансовый блок;D100
D100652100;УпрТГК-1-Бухгалтерия;Бухгалтерия;D100
D100652200;УпрТГК-1-БлРазвитию;Блок по развитию;D100
D100870000;УпрТГК-1-Дирекция КС;Дирекция КС ;D100
D100871200;УпрТГК-1-ДепИнвестиц;Департамент по инвестициям;D100
D200650000;УФНевскх-УпрФилиалом;Управление   Невским филиалом ;D200
D200652300;УФНевскх-ДирПрСис;"Дирекция производственных систем филиала ""Невский""";D200
D200652400;УФНевскх-УчЦентр;"Учебный центр ТГК филиала ""Невский""";D200
D200652500;УФНевскх-ДирСбытТепл;"Дирекция по сбыту тепловой энергии филиала ""Невский""";D200
D200870000;УФНевскх-Дирекция КС;Директора дирекции КАП. Строительства Аппарата УНФ;D200
D202020001;ТЭЦЦентр-ОГ-01 СМ Т1;ОГ №1   (ЭС 3)  Турбина №1 Центральная ТЭЦ;D202
D202020201;ТЭЦЦентр-ОГ-03 СМ Т2;ОГ №3  (ЭС 2)  Турбина №2 Центральная ТЭЦ;D202
D202020301;ТЭЦЦентр-ОГ-04 СМ Т5;ОГ №4  (ЭС 2)  Турбина №5 Центральная ТЭЦ;D202
D202020401;ТЭЦЦентр-ОГ5 СМ ПВК2;ОГ № 5 Котельная (CМ) (ЭС 1) Центральная ТЭЦ;D202
D202020501;ТЭЦЦентр-ОГ6 СМ ПВК1;ОГ № 6 ПВК (ЭС 1) Центральная ТЭЦ;D202
D202020502;ТЭЦЦентр-ОГ-06 НМ, ЭС1, ГТУ-1;ОГ № 6 ГТУ-1 (НМ) (ЭС 1) Центральная ТЭЦ;D202
D202020601;ТЭЦЦентр-ОГ-7 СМ ПК;ОГ №  7 Паровые котлы (ЭС 1) Центральная ТЭЦ;D202
D202020602;ТЭЦЦентр-ОГ-07 НМ, ЭС1, ГТУ-2;ОГ № 7 ГТУ-2 (НМ) (ЭС 1) Центральная ТЭЦ;D202
D202200100;ТЭЦЦентр-КТЦ1 СМ/НМ ЭС;КТЦ-1 СМ и НМ (ЭС 1)  Центральная ТЭЦ;D202
D202200101;ТЭЦЦентр-КТЦ1 СМ ЭС;КТЦ- 1 СМ  (ЭС 1)  Центральная ТЭЦ;D202
D202200110;ТЭЦЦентр-КТЦ1 СМ/НМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 1 СМ/НМ (ЭС 1)  Центральная ТЭЦ;D202
D202200111;ТЭЦЦентр-КТЦ1 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 1 СМ  (ЭС 1)  Центральная ТЭЦ;D202
D202200201;ТЭЦЦентр-КТЦ2 СМ ЭС;КТЦ-2  СМ  (ЭС 2)  Центральная ТЭЦ;D202
D202200211;ТЭЦЦентр-КТЦ2 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 2  СМ  (ЭС 2)  Центральная ТЭЦ;D202
D202200301;ТЭЦЦентр-КТЦ3 СМ ЭС;КТЦ-3  СМ (ЭС 3) Центральная ТЭЦ;D202
D202200311;ТЭЦЦентр-КТЦ3 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 3 СМ (ЭС 3) Центральная ТЭЦ;D202
D202210000;ТЭЦЦентр-ЭЦ1 СМ/НМ;Электроцех -1 (ЭС 1,3)  СМ/НМ Центральная ТЭЦ;D202
D202210001;ТЭЦЦентр-ЭЦ1 СМ;Электроцех -1 (ЭС 1,3)  СМ  Центральная ТЭЦ;D202
D202210010;ТЭЦЦентр-ЭЦ1 СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -1 (ЭС 1,3)  СМ/НМ Центральная ТЭЦ ;D202
D202210011;ТЭЦЦентр-ЭЦ1 СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -1 (ЭС 1,3)  СМ  Центральная ТЭЦ ;D202
D202210101;ТЭЦЦентр-ЭЦ2 СМ;Электроцех -2  (ЭС 2) СМ Центральная ТЭЦ;D202
D202210111;ТЭЦЦентр-ЭЦ2 СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -2  (ЭС 2) СМ Центральная ТЭЦ;D202
D202210300;ТЭЦЦентр-ХПВ СМ/НМ;Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210301;ТЭЦЦентр-ХПВ СМ;Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210310;ТЭЦЦентр-ХПВ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210311;ТЭЦЦентр-ХПВ СМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210400;ТЭЦЦентр-ВСН СМ/НМ;Вода на СН Центральная ТЭЦ;D202
D202210401;ТЭЦЦентр-ВСН СМ;Вода на СН Центральная ТЭЦ;D202
D202210500;ТЭЦЦентр-ТепВпар СМ/НМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210501;ТЭЦЦентр-ТепВпар СМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210501;ТЭЦЦентр-ТепВпар СМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210600;ТЭЦЦентр-ТепВвод СМ/НМ;Теплоноситель в воде Центральная ТЭЦ;D202
D202210601;ТЭЦЦентр-ТепВвод СМ;Теплоноситель в воде Центральная ТЭЦ;D202
D202211200;ТЭЦЦентр-ЦТАИ СМ/НМ;Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211201;ТЭЦЦентр-ЦТАИ СМ;Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211210;ТЭЦЦентр-ЦТАИ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211211;ТЭЦЦентр-ЦТАИ СМ Хоз;Затраты на ремонт хозяйственным способом Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211800;ТЭЦЦентр-Резерв ТМ;Резервирование тепловой мощности Центральная ТЭЦ;D202
D202211900;ТЭЦЦентр-ТТЦ СМ/НМ;Топливно-транспортный цех (ТТЦ) СМ и НМ Центральная ТЭЦ;D202
D202211901;ТЭЦЦентр-ТТЦ СМ;Топливно-транспортный цех (ТТЦ) СМ Центральная ТЭЦ;D202
D202211910;ТЭЦЦентр-ТТЦ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех (ТТЦ) СМ и НМ Центральная ТЭЦ ;D202
D202211911;ТЭЦЦентр-ТТЦ СМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех (ТТЦ) СМ Центральная ТЭЦ ;D202
D202212100;ТЭЦЦентр-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D202
D202212200;ТЭЦЦентр-Подк сис ТС;Подключение к системе теплоснабжение;D202
D202212300;ТЭЦЦентр-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D202
D202330200;ТЭЦЦентр-Услуги САТ;Услуги собственного автотранспорта  Центральная ТЭЦ;D202
D202330300;ТЭЦЦентр-УслСвязи;Услуги связи  Центральная ТЭЦ;D202
D202330400;ТЭЦЦентр-Услуги ИВО;Услуги ИВО   Центральная ТЭЦ;D202
D202330500;ТЭЦЦентр-УслПолигр; Услуги полиграфии   Центральная ТЭЦ;D202
D202330600;ТЭЦЦентр-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД   Центральная ТЭЦ;D202
D202330700;ТЭЦЦентр-УслСвязРасп;Услуги связи РАСПРЕД  Центральная ТЭЦ;D202
D202330800;ТЭЦЦентр-УслИВО Расп;Услуги ИВО РАСПРЕД   Центральная ТЭЦ;D202
D202330900;ТЭЦЦентр-УслПолиРасп; Услуги полиграфии РАСПРЕД  Центральная ТЭЦ;D202
D202331200;ТЭЦЦентр-АРС;Аварийно-ремонтная служба (АРС);D202
D202331300;ТЭЦЦентр-МЛКиН;Метрологическая лаборатория калибровки и наладки (МЛКиН);D202
D202331400;ТЭЦЦентр-УслСбстРспр;Услуги собственные распределяемые;D202
D202331600;ТЭЦЦентр-ЦЛМСиК;Центральная лаборатория металлов, сварки и контроля (ЦЛМСиК);D202
D202540000;ТЭЦЦентр-ОПР;Общепроизводственные  Центральная ТЭЦ;D202
D202650100;ТЭЦЦентр-УпрТЭС;Руководство   Центральная ТЭЦ;D202
D202870000;ТЭЦЦентр-Дирекция КС;"Дирекция КС Центральная ТЭЦ";D202
D202870100;ТЭЦЦентр-ОКС;Группа КС  Центральная ТЭЦ;D202
D205020001;ТЭЦ05Пра-ОГ-01 СМ;ОГ №1  СМ Правобережная ТЭЦ-5 ;D205
D205020102;ТЭЦ05Пра-ОГ-01 НМ;ОГ №2  НМ Правобережная ТЭЦ-5 ;D205
D205200100;ТЭЦ05Пра-КТЦ;КТЦ Правобережная ТЭЦ-5;D205
D205200110;ТЭЦ05Пра-КТЦ Хоз;Затраты на ремонт хозяйственным способомКТЦ  Правобережная ТЭЦ-5;D205
D205210000;ТЭЦ05Пра-ЭЦ;Электроцех Правобережная ТЭЦ-5;D205
D205210010;ТЭЦ05Пра-ЭЦ Хоз;Затраты на ремонт хозяйственным способом Электроцех Правобережная ТЭЦ-5;D205
D205210300;ТЭЦ05Пра-ХПВ;Хим. Подготовленная вода Правобережная ТЭЦ-5;D205
D205210310;ТЭЦ05Пра-ХПВ Хоз;Затраты на ремонт хозяйственным способомХим. Подготовленная вода Правобережная ТЭЦ-5 ;D205
D205210400;ТЭЦ05Пра-ВСН;Вода на СН  Правобережная ТЭЦ-5;D205
D205210500;ТЭЦ05Пра-ТепВпар;Теплоноситель в паре Правобережная ТЭЦ-5;D205
D205210600;ТЭЦ05Пра-ТепВвод;Теплоноситель в воде Правобережная ТЭЦ-5;D205
D205211200;ТЭЦ05Пра-ЦТАИ;Цех ТАИ  Правобережная ТЭЦ-5 ;D205
D205211210;ТЭЦ05Пра-ЦТАИ Хоз;Затраты на ремонт хозяйственным способом Цех ТАИ  Правобережная ТЭЦ-5;D205
D205211800;ТЭЦ05Пра-Резерв ТМ;Резервирование тепловой мощности Правобережная ТЭЦ-5 ;D205
D205211900;ТЭЦ05Пра-ТТЦ;Топливно-транспортный цех Правобережная ТЭЦ-5;D205
D205211910;ТЭЦ05Пра-ТТЦ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех Правобережная ТЭЦ-5 ;D205
D205212100;ТЭЦ05Пра-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D205
D205212200;ТЭЦ05Пра-Подк сис ТС;Подключение к системе теплоснабжение;D205
D205212300;ТЭЦ05Пра-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D205
D205330200;ТЭЦ05Пра-Услуги САТ;Услуги собственного автотранспорта Правобережная ТЭЦ-5;D205
D205330300;ТЭЦ05Пра-УслСвязи;Услуги связи Правобережная ТЭЦ-5  ;D205
D205330400;ТЭЦ05Пра-Услуги ИВО;Услуги ИВО Правобережная ТЭЦ-5;D205
D205330500;ТЭЦ05Пра-УслПолигр; Услуги полиграфии Правобережная ТЭЦ-5 ;D205
D205330600;ТЭЦ05Пра-УслСАТ Расп;Услуги собственного автотранспорта  РАСПРЕД Правобережная ТЭЦ-5;D205
D205330700;ТЭЦ05Пра-УслСвязРасп;Услуги связи РАСПРЕД Правобережная ТЭЦ-5  ;D205
D205330800;ТЭЦ05Пра-УслИВО Расп;Услуги ИВО  РАСПРЕД Правобережная ТЭЦ-5;D205
D205330900;ТЭЦ05Пра-УслПолиРасп; Услуги полиграфии РАСПРЕД Правобережная ТЭЦ-5 ;D205
D205331200;ТЭЦ05Пра-АРС;Аварийно-ремонтная служба (АРС);D205
D205331400;ТЭЦ05Пра-УслСбстРспр;Услуги собственные распределяемые;D205
D205331500;ТЭЦ05Пра-СА и АСУ ТП;Служба автоматизации и АСУ ТП;D205
D205540000;ТЭЦ05Пра-ОПР;Общепроизводственные расходы Правобережная ТЭЦ-5;D205
D205650100;ТЭЦ05Пра-УпрТЭС;Руководство  Правобережная ТЭЦ-5;D205
D205870000;ТЭЦ05Пра-Дирекция КС;Дирекция КС  Правобережная ТЭЦ-5;D205
D205870100;ТЭЦ05Пра-ОКС;Группа капитального строительства ТЭЦ-5;D205
D205870200;ТЭЦ05Пра-ООС;Отдел организации строительства ТЭЦ-5;D205
D205870300;ТЭЦ05Пра-ОТН;Отдел технического надзора ТЭЦ-5;D205
D205960100;ТЭЦ05Пра-ДХУ;Детские хозяйственные учреждения;D205
D205960400;ТЭЦ15Авт-УчМедиц;Медицинские учреждения;D205
D205960600;ТЭЦ15Авт-УчОздоров;Оздоровительные учреждения;D205
D205960700;ТЭЦ15Авт-СХ;Сельское хозяство;D205
D207020001;ТЭЦ07Вас-ОГ-01 СМ №4;ОГ №1 СМ  ПТ-25-90/10 №4 Василеостровская  ТЭЦ-7;D207
D207020102;ТЭЦ07Вас-ОГ-01 НМ №3;ОГ №2 НМ ПТ-60-90/13 №3   Василеостровская  ТЭЦ-7;D207
D207020201;ТЭЦ07Вас-ОГ-01 СМ №5;ОГ №3  СМ Т-50-90 №5  Василеостровская  ТЭЦ-7;D207
D207200100;ТЭЦ07Вас-КТЦ;КТЦ  Василеостровская  ТЭЦ-7;D207
D207200110;ТЭЦ07Вас-КТЦ Хоз;Затраты на ремонт хозяйственным способом КТЦ  Василеостровская  ТЭЦ-7;D207
D207210000;ТЭЦ07Вас-ЭЦ Расп;Электроцех  РАСПРЕД Василеостровская  ТЭЦ-7;D207
D207210010;ТЭЦ07Вас-ЭЦ Расп Хоз;Затраты на ремонт хозяйственным способом Электроцех  РАСПРЕД Василеостровская  ТЭЦ-7;D207
D207210300;ТЭЦ07Вас-ХПВ;Хим. Подготовленная водаТЭЦ-07;D207
D207210310;ТЭЦ07Вас-ХПВ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода ТЭЦ-07;D207
D207210400;ТЭЦ07Вас-ВСН;Вода на СН ТЭЦ-07;D207
D207210500;ТЭЦ07Вас-ТепВпар;Теплоноситель в паре ТЭЦ-07;D207
D207210600;ТЭЦ07Вас-ТепВвод;Теплоноситель в воде ТЭЦ-07;D207
D207211200;ТЭЦ07Вас-ЦТАИ Расп;Цех ТАИ  РАСПРЕД  Василеостровская  ТЭЦ-7;D207
D207211210;ТЭЦ07Вас-ЦТАИ Расп Х;Затраты на ремонт хозяйственным способом  Цех ТАИ  РАСПРЕД  Василеостровская  ТЭЦ-7;D207
D207211800;ТЭЦ07Вас-Резерв ТМ;Резервирование тепловой мощности Василеостровская ТЭЦ-7;D207
D207211900;ТЭЦ07Вас-ТТЦ;Топливно-транспортный цех Василеостровская  ТЭЦ-7;D207
D207211910;ТЭЦ07Вас-ТТЦ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех Василеостровская  ТЭЦ-7;D207
D207212100;ТЭЦ07Вас-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D207
D207212200;ТЭЦ07Вас-Подк сис ТС;Подключение к системе теплоснабжение;D207
D207212300;ТЭЦ07Вас-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D207
D207330000;ТЭЦ07Вас-АТЦ;Автотранспортный участок Василеостровская  ТЭЦ-7;D207
D207330010;ТЭЦ07Вас-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Василеостровская  ТЭЦ-7;D207
D207330100;ТЭЦ07Вас-АТЦ СЗ;Автотранспортный участок Василеостровская  ТЭЦ-7 СЗ;D207
D207330200;ТЭЦ07Вас-Услуги САТ;Услуги собственного автотранспорта Василеостровская  ТЭЦ-7;D207
D207330300;ТЭЦ07Вас-УслСвязи;Услуги связи  Василеостровская  ТЭЦ-7;D207
D207330400;ТЭЦ07Вас-Услуги ИВО;Услуги ИВО  Василеостровская  ТЭЦ-7;D207
D207330500;ТЭЦ07Вас-УслПолигр; Услуги полиграфии  Василеостровская  ТЭЦ-7;D207
D207330600;ТЭЦ07Вас-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД  Василеостровская  ТЭЦ-7;D207
D207330700;ТЭЦ07Вас-УслСвязРасп;Услуги связи РАСПРЕД Василеостровская  ТЭЦ-7;D207
D207330800;ТЭЦ07Вас-УслИВО Расп;Услуги ИВО РАСПРЕД  Василеостровская  ТЭЦ-7;D207
D207330900;ТЭЦ07Вас-УслПолиРасп; Услуги полиграфии РАСПРЕД  Василеостровская  ТЭЦ-7;D207
D207331100;ТЭЦ07Вас-АТЦ СЗ Расп;Автотранспортный участок Василеостровкая ТЭЦ-7 - СЗ (РАСПРЕД);D207
D207331200;ТЭЦ07Вас-АРС;Аварийно-ремонтная служба (АРС);D207
D207331400;ТЭЦ07Вас-УслСбстРспр;Услуги собственные распределяемые;D207
D207540000;ТЭЦ07Вас-ОПР;Общепроизводственные Василеостровская  ТЭЦ-7;D207
D207650100;ТЭЦ07Вас-УпрТЭС;Руководство  Василеостровская  ТЭЦ-7;D207
D207870400;ТЭЦ07Вас-ГТПиР;Группа технического перевооружения и реконструкции  Василеостровская  ТЭЦ-7;D207
D207960000;ТЭЦ07Вас-Гостиница;Гостиница;D207
D207960200;ТЭЦ07Вас-ЖХ;Жилищное хозяйство;D207
D208020001;ТЭЦ08Дуб-ОГ-01 СМ;ОГ №1 СМ Дубровская  ТЭЦ-8;D208
D208020101;ТЭЦ08Дуб-ОГ-02 СМ;ОГ №2 СМ Дубровская  ТЭЦ-8;D208
D208020201;ТЭЦ08Дуб-ОГ-03 СМ;ОГ №3 СМ Дубровская  ТЭЦ-8;D208
D208020301;ТЭЦ08Дуб-ОГ-04 СМ;ОГ№4 СМ  Дубровская  ТЭЦ-8 ;D208
D208020401;ТЭЦ08Дуб-ОГ-05 СМ;ОГ№5 СМ  Дубровская  ТЭЦ-8 ;D208
D208200101;ТЭЦ08Дуб-КТЦ СМ;КТЦ Дубровская  ТЭЦ-8;D208
D208200111;ТЭЦ08Дуб-КТЦ СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ Дубровская  ТЭЦ-8-;D208
D208210001;ТЭЦ08Дуб-ЭЦ СМ;Электроцех  Дубровская  ТЭЦ-8 ;D208
D208210011;ТЭЦ08Дуб-ЭЦ СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех  Дубровская  ТЭЦ-8;D208
D208210301;ТЭЦ08Дуб-ХПВ СМ;Хим. Подготовленная вода Дубровская  ТЭЦ-8;D208
D208210311;ТЭЦ08Дуб-ХПВ СМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Дубровская  ТЭЦ-8 ;D208
D208210401;ТЭЦ08Дуб-ВСН СМ;Вода на СН Дубровская  ТЭЦ-8;D208
D208210501;ТЭЦ08Дуб-ТепВпар СМ;Теплоноситель в паре Дубровская  ТЭЦ-8;D208
D208210601;ТЭЦ08Дуб-ТепВвод СМ;Теплоноситель в воде Дубровская  ТЭЦ-8;D208
D208211201;ТЭЦ08Дуб-ЦТАИ СМ;Цех ТАИ Дубровская  ТЭЦ-8;D208
D208211211;ТЭЦ08Дуб-ЦТАИ СМ Хоз;Затраты на ремонт хозяйственным способом Цех ТАИ Дубровская  ТЭЦ-8;D208
D208211400;ТЭЦ08Дуб-Перед Т/Э;Передача Т/Э  Дубровская  ТЭЦ-8;D208
D208211410;ТЭЦ08Дуб-ПерТ/Э Хоз;Затраты на ремонт хозяйственным способом Передача Т/Э  Дубровская  ТЭЦ-8;D208
D208211800;ТЭЦ08Дуб-Резерв ТМ;Резервирование тепловой мощности Дубровская ТЭЦ-8;D208
D208211901;ТЭЦ08Дуб-ТТЦ СМ;Топливно-транспортный цех Дубровская  ТЭЦ-8;D208
D208211911;ТЭЦ08Дуб-ТТЦ СМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех Дубровская  ТЭЦ-8 ;D208
D208212100;ТЭЦ08Дуб-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D208
D208212200;ТЭЦ08Дуб-Подк сис ТС;Подключение к системе теплоснабжение;D208
D208330000;ТЭЦ08Дуб-АТЦ;Автотранспортный участок Дубровская  ТЭЦ-8;D208
D208330010;ТЭЦ08Дуб-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Дубровская  ТЭЦ-8;D208
D208330100;ТЭЦ08Дуб-АТЦ СЗ;Автотранспортный участок Дубровская  ТЭЦ-8 СЗ;D208
D208330200;ТЭЦ08Дуб-Услуги САТ;Услуги собственного автотранспорта Дубровская  ТЭЦ-8;D208
D208330300;ТЭЦ08Дуб-УслСвязи;Услуги связи  Дубровская  ТЭЦ-8;D208
D208330400;ТЭЦ08Дуб-Услуги ИВО;Услуги ИВО  Дубровская  ТЭЦ-8;D208
D208330500;ТЭЦ08Дуб-УслПолигр; Услуги полиграфии  Дубровская  ТЭЦ-8;D208
D208330600;ТЭЦ08Дуб-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД  Дубровская  ТЭЦ-8;D208
D208330700;ТЭЦ08Дуб-УслСвязРасп;Услуги связи РАСПРЕД Дубровская  ТЭЦ-8;D208
D208330800;ТЭЦ08Дуб-УслИВО Расп;Услуги ИВО РАСПРЕД  Дубровская  ТЭЦ-8;D208
D208330900;ТЭЦ08Дуб-УслПолиРасп; Услуги полиграфии РАСПРЕД  Дубровская  ТЭЦ-8;D208
D208331100;ТЭЦ08Дуб-АТЦ СЗ Расп;Автотранспортный участок Дубровская ТЭЦ-8 - СЗ (РАСПРЕД);D208
D208331200;ТЭЦ08Дуб-АРС;Аварийно-ремонтная служба (АРС);D208
D208540000;ТЭЦ08Дуб-ОПР;Общепроизводственные Дубровская  ТЭЦ-8;D208
D208650100;ТЭЦ08Дуб-УпрТЭС;Руководство  Дубровская  ТЭЦ-8;D208
D208960500;ТЭЦ08Дуб-Об.питание;Общественное питание;D208
D213020001;НарГЭС13-ОГ-01 СМ;ОГ№1  СМ ГЭС-13 Нарвская;D213
D213020101;НарГЭС13-ОГ-02 СМ;ОГ№2 СМ  ГЭС-13 Нарвская;D213
D213020201;НарГЭС13-ОГ-03 СМ;ОГ№3   СМ ГЭС-13 Нарвская;D213
D213020301;НарГЭС13-ОГ-04 СМ;ОГ№4   СМ ГЭС-13 Нарвская;D213
D213021602;НарГЭС13-ВГ-01 НМ;ВГ №1;D213
D213021702;НарГЭС13-ВГ-02 НМ;ВГ №2;D213
D213201101;НарГЭС13-ГЭС СМ; ГЭС-13 СМ Нарвская;D213
D213201111;НарГЭС13-ГЭС СМ Хоз; Затраты на ремонт хозяйственным способом ГЭС-13 СМ Нарвская ;D213
D213212100;НарГЭС13-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D213
D213330000;НарГЭС13-АТЦ;Автотранспортный участок ГЭС-13 Нарвская;D213
D213330010;НарГЭС13-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок ГЭС-13 Нарвская;D213
D213330100;НарГЭС13-АТЦ СЗ;Автотранспортный участок ГЭС-13 Нарвская - СЗ;D213
D213330200;НарГЭС13-Услуги САТ;Услуги собственного автотранспорта ГЭС-13 Нарвская;D213
D213330300;НарГЭС13-УслСвязи;Услуги связи ГЭС-13 Нарвская;D213
D213330400;НарГЭС13-Услуги ИВО;Услуги ИВО ГЭС-13 Нарвская;D213
D213330500;НарГЭС13-УслПолигр; Услуги полиграфии ГЭС-13 Нарвская ;D213
D213330600;НарГЭС13-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД ГЭС-13 Нарвская;D213
D213330700;НарГЭС13-УслСвязРасп;Услуги связи РАСПРЕД ГЭС-13 Нарвская;D213
D213330800;НарГЭС13-УслИВО Расп;Услуги ИВО РАСПРЕД ГЭС-13 Нарвская;D213
D213330900;НарГЭС13-УслПолиРасп; Услуги полиграфии РАСПРЕД ГЭС-13 Нарвская ;D213
D213331100;НарГЭС13-АТЦ СЗ Расп;Автотранспортный участок ГЭС-13 Нарвская - СЗ (РАСПРЕД);D213
D213331400;НарГЭС13-УслСбстРспр;Услуги собственные распределяемые;D213
D213540000;НарГЭС13-ОПР;Общепроизводственные ГЭС-13 Нарвская;D213
D213650100;НарГЭС13-УпрГЭС;;D213
D213870100;НарГЭС13-ОКС;Группа КС ГЭС-13;D213
D213960000;НарГЭС13-Гостиница;Гостиница;D213
D214020001;ТЭЦ14Пер-ОГ-01 СМ;ОГ№1 СМ  Первомайская ТЭЦ-14;D214
D214020002;ТЭЦ14Пер-ОГ-01 НМ;ОГ Блок №1 НМ  Первомайская ТЭЦ-14;D214
D214020101;ТЭЦ14Пер-ОГ-02 СМ;ОГ№2  СМ Первомайская ТЭЦ-14;D214
D214020102;ТЭЦ14Пер-ОГ-02 НМ;ОГ Блок №2 НМ Первомайская ТЭЦ-14;D214
D214020201;ТЭЦ14Пер-ОГ-03 СМ;ОГ№3 СМ Первомайская ТЭЦ-14;D214
D214020301;ТЭЦ14Пер-ОГ-04 СМ;ОГ№4  СМ Первомайская ТЭЦ-14;D214
D214020401;ТЭЦ14Пер-ОГ-05 СМ;ОГ№5 СМ Первомайская ТЭЦ-14;D214
D214020601;ТЭЦ14Пер-ОГ-07 СМ;ОГ№7 СМ Первомайская ТЭЦ-14;D214
D214020702;ТЭЦ14Пер-ОГ-01 НМ;ОГ Блок №1 НМ  Первомайская ТЭЦ-14;D214
D214020802;ТЭЦ14Пер-ОГ-02 НМ;ОГ Блок №2  НМ  Первомайская ТЭЦ-14;D214
D214021502;ТЭЦ14Пер-ОГ ОВК НМ;ОГ ОВК НМ Первомайская ТЭЦ-14;D214
D214200101;ТЭЦ14Пер-КТЦ1 СМ;КТЦ-1   Первомайская ТЭЦ-14;D214
D214200102;ТЭЦ14Пер-КТЦ1 НМ;КТЦ-1   Первомайская ТЭЦ-14;D214
D214200111;ТЭЦ14Пер-КТЦ1 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ-1   Первомайская ТЭЦ-14 ;D214
D214200112;ТЭЦ14Пер-КТЦ1 НМ Хоз;Затраты на ремонт хозяйственным способом КТЦ-1   Первомайская ТЭЦ-14 ;D214
