МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D212201101;ГЭС12Вер-ГЭС СМ;ГЭС-12 СМ Верхнесвирская;D220
D212201111;ГЭС12Вер-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-12 СМ Верхнесвирская ;D220
D212212100;ГЭС12Вер-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D220
D212540000;ГЭС12Вер-ОПР;Общепроизводственные расходы ГЭС-12;D220
D212650100;ГЭС12Вер-УпрГЭС;Общехозяйственные расходы ГЭС-12;D220
D220330000;КдЛадожс-АТЦ;Автотранспортный участок Каскада Ладожских ГЭС;D220
D220330010;КдЛадожс-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Каскада Ладожских ГЭС ;D220
D220330100;КдЛадожс-АТЦ СЗ;Автотранспортный участок Каскада Ладожских ГЭС - СЗ;D220
D220330200;КдЛадожс-Услуги САТ;Услуги собственного автотранспорта Каскада Ладожских ГЭС ;D220
D220330300;КдЛадожс-УслСвязи;Услуги связи Каскада Ладожских ГЭС ;D220
D220330400;КдЛадожс-Услуги ИВО;Услуги ИВО Каскада Ладожских ГЭС ;D220
D220330500;КдЛадожс-УслПолигр; Услуги полиграфии Каскада Ладожских ГЭС ;D220
D220330600;КдЛадожс-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД Каскада Ладожских ГЭС ;D220
D220330700;КдЛадожс-УслСвязРасп;Услуги связи РАСПРЕД Каскада Ладожских ГЭС ;D220
D220330800;КдЛадожс-УслИВО Расп;Услуги ИВО РАСПРЕД Каскада Ладожских ГЭС ;D220
D220330900;КдЛадожс-УслПолиРасп; Услуги полиграфии РАСПРЕД Каскада Ладожских ГЭС ;D220
D220331100;КдЛадожс-АТЦ СЗ Расп;Автотранспортный участок Каскада Ладожских ГЭС - СЗ (РАСПРЕД);D220
D220331400;КдЛадожс-УслСбстРспр;Услуги собственные распределяемые;D220
D220650000;КдЛадожс-УпрКаскадом;Управление Ладожских ГЭС ;D220
D220870100;КдЛадожс-ОКС;ОКС Каскада  Ладожских ГЭС;D220
D220960000;КдЛадожс-Гостиница;Гостиница;D220
D220960200;КдЛадожс-ЖХ;Жилищное хозяйство;D220
D220960300;КдЛадожс-КХ;Коммунальное хозяйство;D220
D221020001;ТЭЦ21Сев-ОГ-01 СМ;ОГ №1  СМ Северная ТЭЦ-21;D221
D221020101;ТЭЦ21Сев-ОГ-02 СМ;ОГ №2 СМ Северная ТЭЦ-21;D221
D221020201;ТЭЦ21Сев-ОГ-03 СМ;ОГ №3  СМ Северная ТЭЦ-21;D221
D221020301;ТЭЦ21Сев-ОГ-04 СМ;ОГ №4  СМ Северная ТЭЦ-21;D221
D221020401;ТЭЦ21Сев-ОГ-05 СМ;ОГ №5  СМ Северная ТЭЦ-21;D221
D221200101;ТЭЦ21Сев-КТЦ СМ;КТЦ Северная ТЭЦ-21;D221
D221200111;ТЭЦ21Сев-КТЦ СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ Северная ТЭЦ-21;D221
D221210001;ТЭЦ21Сев-ЭЦ СМ;Электроцех СМ Северная ТЭЦ-21;D221
D221210011;ТЭЦ21Сев-ЭЦ СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех СМ Северная ТЭЦ-21;D221
D221210301;ТЭЦ21Сев-ХПВ СМ;Хим. Подготовленная вода Северная ТЭЦ-21;D221
D221210311;ТЭЦ21Сев-ХПВ СМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Северная ТЭЦ-21;D221
D221210401;ТЭЦ21Сев-ВСН СМ;Вода на СН Северная ТЭЦ-21;D221
D221210501;ТЭЦ21Сев-ТепВпар СМ;Теплоноситель в паре Северная ТЭЦ-21;D221
D221210601;ТЭЦ21Сев-ТепВвод СМ;Теплоноситель в воде Северная ТЭЦ-21;D221
D221211201;ТЭЦ21Сев-ЦТАИ СМ;Цех ТАИ  СМ Северная ТЭЦ-21;D221
D221211211;ТЭЦ21Сев-ЦТАИ СМ Хоз;Затраты на ремонт хозяйственным способом Цех ТАИ  СМ Северная ТЭЦ-21;D221
D221211800;ТЭЦ21Сев-Резерв ТМ;Резервирование тепловой мощности Северная ТЭЦ-21;D221
D221211901;ТЭЦ21Сев-ТТЦ СМ;Топливно-транспортный цех СМ Северная ТЭЦ-21;D221
D221211910;ТЭЦ21Сев-ТТЦ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех СМ Северная ТЭЦ-21;D221
D221211911;ТЭЦ21Сев-ТТЦ СМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех СМ Северная ТЭЦ-21;D221
D221212100;ТЭЦ21Сев-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D221
D221212200;ТЭЦ21Сев-Подк сис ТС;Подключение к системе теплоснабжение;D221
D221212300;ТЭЦ21Сев-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D221
D221330200;ТЭЦ21Сев-Услуги САТ;Услуги собственного автотранспорта  Северная ТЭЦ-21;D221
D221330300;ТЭЦ21Сев-УслСвязи;Услуги связи  Северная ТЭЦ-21;D221
D221330400;ТЭЦ21Сев-Услуги ИВО;Услуги ИВО  Северная ТЭЦ-21;D221
D221330500;ТЭЦ21Сев-УслПолигр; Услуги полиграфии  Северная ТЭЦ-21;D221
D221330600;ТЭЦ21Сев-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД  Северная ТЭЦ-21;D221
D221330700;ТЭЦ21Сев-УслСвязРасп;Услуги связи РАСПРЕД  Северная ТЭЦ-21;D221
D221330800;ТЭЦ21Сев-УслИВО Расп;Услуги ИВО РАСПРЕД  Северная ТЭЦ-21;D221
D221330900;ТЭЦ21Сев-УслПолиРасп; Услуги полиграфии РАСПРЕД  Северная ТЭЦ-21;D221
D221331200;ТЭЦ21Сев-АРС;Аварийно-ремонтная служба (АРС);D221
D221331400;ТЭЦ21Сев-УслСбстРспр;Услуги собственные распределяемые;D221
D221540000;ТЭЦ21Сев-ОПР;Общепроизводственные Северная ТЭЦ-21;D221
D221540100;ТЭЦ21Сев-СлЛогиОбПр;Служба логистики и обеспечения производства;D221
D221650100;ТЭЦ21Сев-УпрТЭС;Руководство  Северная ТЭЦ-21;D221
D221870100;ТЭЦ21Сев-ОКС;Группа КС  Северная ТЭЦ-21;D221
D221960600;ТЭЦ21Сев-УчОздоров;Оздоровительные учреждения;D221
D222020001;ТЭЦ22Южн-ОГ-01 СМ;ОГ №1 СМ  Южная ТЭЦ-22;D222
D222020101;ТЭЦ22Южн-ОГ-02 СМ;ОГ №2  СМ Южная ТЭЦ-22;D222
D222020201;ТЭЦ22Южн-ОГ-03 СМ;ОГ №3 СМ Южная ТЭЦ-22;D222
D222020302;ТЭЦ22Южн-ОГ-04 НМ;ОГ №4 НМ Южная ТЭЦ-22;D222
D222200100;ТЭЦ22Южн-КТЦ;КТЦ Южная ТЭЦ-22;D222
D222200110;ТЭЦ22Южн-КТЦ Хоз;Затраты на ремонт хозяйственным способом КТЦ Южная ТЭЦ-22;D222
D222210000;ТЭЦ22Южн-ЭЦ;Электроцех  Южная ТЭЦ-22;D222
D222210010;ТЭЦ22Южн-ЭЦ Хоз;Затраты на ремонт хозяйственным способом Электроцех  Южная ТЭЦ-22 ;D222
D222210300;ТЭЦ22Южн-ХПВ;Хим. Подготовленная вода Южная ТЭЦ-22 ;D222
D222210310;ТЭЦ22Южн-ХПВ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Южная ТЭЦ-22;D222
D222210400;ТЭЦ22Южн-ВСН;Вода на СН Южная ТЭЦ-22 ;D222
D222210500;ТЭЦ22Южн-ТепВпар;Теплоноситель в паре Южная ТЭЦ-22 ;D222
D222210600;ТЭЦ22Южн-ТепВвод;Теплоноситель в воде Южная ТЭЦ-22 ;D222
D222211200;ТЭЦ22Южн-ЦТАИ;Цех ТАИ Южная ТЭЦ-22;D222
D222211210;ТЭЦ22Южн-ЦТАИ;Затраты на ремонт хозяйственным способом Цех ТАИ Южная ТЭЦ-22 ;D222
D222211800;ТЭЦ22Южн-Резерв ТМ;Резервирование тепловой мощности Южная ТЭЦ-22;D222
D222211900;ТЭЦ22Южн-ТТЦ;Топливно-транспортный цех Южная ТЭЦ-22;D222
D222211910;ТЭЦ22Южн-ТТЦ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех Южная ТЭЦ-22;D222
D222212100;ТЭЦ22Южн-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D222
D222212200;ТЭЦ22Южн-Подк сис ТС;Подключение к системе теплоснабжение;D222
D222212300;ТЭЦ22Южн-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D222
D222330000;ТЭЦ22Южн-АТЦ;Автотранспортный участок Южная ТЭЦ-22;D222
D222330010;ТЭЦ22Южн-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Южная ТЭЦ-22;D222
D222330100;ТЭЦ22Южн-АТЦ СЗ;Автотранспортный участок Южная ТЭЦ-22 СЗ;D222
D222330200;ТЭЦ22Южн-Услуги САТ;Услуги собственного автотранспорта Южная ТЭЦ-22;D222
D222330300;ТЭЦ22Южн-УслСвязи;Услуги связи  Южная ТЭЦ-22;D222
D222330400;ТЭЦ22Южн-Услуги ИВО;Услуги ИВО  Южная ТЭЦ-22;D222
D222330500;ТЭЦ22Южн-УслПолигр; Услуги полиграфии  Южная ТЭЦ-22;D222
D222330600;ТЭЦ22Южн-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД  Южная ТЭЦ-22;D222
D222330700;ТЭЦ22Южн-УслСвязРасп;Услуги связи РАСПРЕД Южная ТЭЦ-22;D222
D222330800;ТЭЦ22Южн-УслИВО Расп;Услуги ИВО РАСПРЕД  Южная ТЭЦ-22;D222
